Stn Id,Stn Name,CIMIS Region,Date,Hour (PST),Jul,ETo (in),Precip (in),Sol Rad (Ly/day),Vap Pres (mBars),Air Temp (F),Rel Hum (%),Dew Point (F),Wind Speed (mph),Wind Dir (0-360),Soil Temp (F)
113,King City-Oasis Rd.,Monterey Bay,2/5/2020,0100,036,0.00,0.00,0,4.6,33.0,72,25.1,2.1,159,51.1
113,King City-Oasis Rd.,Monterey Bay,2/5/2020,0200,036,0.00,0.00,0,4.5,32.2,73,24.4,3.0,152,51.1
113,King City-Oasis Rd.,Monterey Bay,2/5/2020,0300,036,0.00,0.00,0,4.5,29.6,81,24.6,1.6,169,51.0
113,King City-Oasis Rd.,Monterey Bay,2/5/2020,0400,036,0.00,0.00,0,4.6,29.4,83,24.8,2.4,167,51.0
113,King City-Oasis Rd.,Monterey Bay,2/5/2020,0500,036,0.00,0.00,0,4.3,28.9,81,23.7,4.3,140,51.0
113,King City-Oasis Rd.,Monterey Bay,2/5/2020,0600,036,0.00,0.00,0,4.3,27.8,84,23.7,2.4,156,51.0
113,King City-Oasis Rd.,Monterey Bay,2/5/2020,0700,036,0.00,0.00,1,4.4,28.5,83,24.0,2.5,143,50.9
113,King City-Oasis Rd.,Monterey Bay,2/5/2020,0800,036,0.00,0.00,69,4.5,28.8,84,24.7,2.2,180,50.9
113,King City-Oasis Rd.,Monterey Bay,2/5/2020,0900,036,0.00,0.00,303,5.0,35.9,70,27.0,3.1,131,50.9
113,King City-Oasis Rd.,Monterey Bay,2/5/2020,1000,036,0.00,0.00,484,5.3,40.2,62,28.4,4.1,143,50.8
113,King City-Oasis Rd.,Monterey Bay,2/5/2020,1100,036,0.01,0.00,807,5.8,49.6,48,30.9,3.1,143,50.8
113,King City-Oasis Rd.,Monterey Bay,2/5/2020,1200,036,0.01,0.00,848,4.8,54.3,33,26.0,3.0,353,50.7
113,King City-Oasis Rd.,Monterey Bay,2/5/2020,1300,036,0.01,0.00,975,4.6,57.3,28,24.9,5.1,8,50.7
113,King City-Oasis Rd.,Monterey Bay,2/5/2020,1400,036,0.01,0.00,895,4.8,59.5,28,26.2,4.1,3,50.6
113,King City-Oasis Rd.,Monterey Bay,2/5/2020,1500,036,0.01,0.00,733,5.2,61.4,28,27.8,6.9,345,50.6
113,King City-Oasis Rd.,Monterey Bay,2/5/2020,1600,036,0.01,0.00,487,5.5,62.3,29,29.3,6.2,345,50.5
